label,g (m/s2),stat uncert,sys uncert,total uncert
25.Feb.A.B02.2,9.78,,0.19,0.19
25.Feb.A.B02.3,9.3,0.1,0.8,0.9
25.Feb.A.B02.4,9.7,0.4,,0.4
25.Feb.A.B02.5,10.17,0.1,0.37,0.47
25.Feb.A.B02.6,10.4,0.3,0.5,0.8
25.Feb.A.B02.7,9.96,0.01,0.22,0.22
25.Feb.A.B02.8,9.5,0.1,0.6,0.7
25.Feb.A.B02.9,0.6,0.1,0.09,0.19
25.Feb.A.B02.10,9.8,0.2,0.02,0.2
25.Feb.A.B02.11,9.66,0.07,0.13,0.14
